year,meanBonus,meanHourly,medianBonus,medianHourly,meanHourlyPT,medianHourlyPT,meanHourlyTemp,medianHourlyTemp,perBonusFemale,perBonusMale,perBIKFemale,perBIKMale
2022,13.2,7.37,7.6,5.76,NULL,NULL,4.48,4.5,97,95,17,26
2022,NULL,3.69,NULL,-0.49,-2.26,-1.34,-3.85,-7.07,NULL,NULL,0.29,2.91
2022,12.5,18.1,29.6,9.1,3.8,2.2,0,0,2,7.2,1,2.3
2022,45.8,16.2,10.4,5.8,-13.7,-0.4,5.8,8.8,70.9,75.2,13.4,15.6
2022,66.9,28.7,43.5,29.3,33,37.8,11.9,0,25.3,21.9,1.8,4.7
2022,31.85,-1.04,50.04,-0.95,NULL,NULL,NULL,NULL,66,34,70,30
2022,71,13,11,21,NULL,NULL,NULL,NULL,100,100,100,100
2022,31.7,13.7,0,23.3,NULL,NULL,12.5,1,75.9,81.1,20.4,46.2
2022,46.51,22.4,24.57,15.47,NULL,NULL,NULL,NULL,85.22,82.3,95.22,92.13
2022,4.68,10.75,2.07,5.32,14.49,5.33,NULL,NULL,91.99,87.52,98.51,98.42
2022,67.73,40.32,45.65,31.29,NULL,NULL,37.09,-15.13,89,93,88,88
2022,28.92,46.77,-67.83,44.59,NULL,NULL,3.93,5.11,24.07,13.52,2.01,0.64
2022,NULL,-1.63,NULL,-0.8,-18.6,-1.64,-7.76,-7.1,NULL,NULL,0,0.2
2022,-5.9,6.4,13,5.2,-7.8,27.5,-15.9,-9.8,26,22.4,0.5,1.2
2022,10,2.8,0,2.8,-4,-1,-29.5,-17.5,48,53,11,13
2022,NULL,-0.07,NULL,-7.23,-6.35,-7.41,21.47,22.38,NULL,NULL,2.31,2.74
2022,NULL,-0.72,NULL,1.88,-9.8,-11.23,16.84,23.71,NULL,NULL,NULL,NULL
2022,18.05,-0.61,-11.94,-7.15,-27.91,-20.65,24.78,17,64.18,69.61,22.39,18
2022,59.9,12.8,38,-0.9,NULL,NULL,NULL,NULL,93.6,89.7,NULL,NULL
2022,13.9,6.9,-105,-7.5,20.9,14.7,3.5,1.7,81,80,100,100
2022,-25,1.2,-14,6.5,14.26,12.83,0.9,0,68,78,25,7
2022,54,36,57,36,48,51,15,29,94,97,25,68
2022,31,14.1,-12.3,9.1,-19.5,19.6,7.4,2.9,34.1,30.5,100,100
2022,NULL,5.5,NULL,1.36,-1.7,0,21.57,17.3,NULL,NULL,NULL,NULL
2022,55.2,28.8,24,21.8,-40.2,-26.7,29.3,-8.8,94.9,92,87.3,85.3
2022,NULL,10.07,NULL,15.06,-1.28,-0.86,-13.28,-15.96,NULL,NULL,NULL,NULL
